Year,Month,Data source,PortRoute,Region,ArriveDepart,UnSamp_Total
2017,1,Unsampled,121,3,1,2455
2017,1,Unsampled,121,1,1,0
2017,1,Unsampled,121,1,1,1399
2017,1,Unsampled,121,1,1,1749
2017,1,Unsampled,121,1,1,780
2017,1,Unsampled,121,1,1,0
2017,1,Unsampled,121,1,1,89
2017,1,Unsampled,121,1,1,190
2017,1,Unsampled,121,9,1,3325
2017,1,Unsampled,121,1,1,1345
2017,1,Unsampled,121,1,1,718
2017,1,Unsampled,121,1,1,1600
2017,1,Unsampled,121,10,1,2678
2017,1,Unsampled,121,4,1,200
2017,1,Unsampled,121,2,1,138
2017,1,Unsampled,121,2,1,0
2017,1,Unsampled,121,2,1,598
2017,1,Unsampled,131,4,1,253
2017,1,Unsampled,131,3,1,215
2017,1,Unsampled,131,3,1,0
2017,1,Unsampled,131,3,1,0
2017,1,Unsampled,131,4,1,3966
2017,1,Unsampled,131,4,1,1220
2017,1,Unsampled,131,4,1,0
2017,1,Unsampled,131,1,1,97
2017,1,Unsampled,131,1,1,0
2017,1,Unsampled,131,9,1,1074
2017,1,Unsampled,131,9,1,918
2017,1,Unsampled,131,1,1,0
2017,1,Unsampled,131,2,1,488
2017,1,Unsampled,131,2,1,102
2017,1,Unsampled,131,2,1,1186
2017,1,Unsampled,131,7,1,161
2017,1,Unsampled,131,7,1,380
2017,1,Unsampled,131,3,1,167
2017,1,Unsampled,131,3,1,0
2017,1,Unsampled,131,6,1,10292
2017,1,Unsampled,141,3,1,1794
2017,1,Unsampled,141,4,1,489
2017,1,Unsampled,141,1,1,284
2017,1,Unsampled,141,1,1,0
2017,1,Unsampled,141,1,1,0
2017,1,Unsampled,141,1,1,3605
2017,1,Unsampled,141,1,1,0
2017,1,Unsampled,141,1,1,153
2017,1,Unsampled,141,7,1,0
2017,1,Unsampled,141,7,1,965
2017,1,Unsampled,141,7,1,0
2017,1,Unsampled,141,3,1,0
2017,1,Unsampled,151,4,1,4944
2017,1,Unsampled,151,3,1,6311
2017,1,Unsampled,151,3,1,121
2017,1,Unsampled,151,3,1,2928
2017,1,Unsampled,151,4,1,3815
2017,1,Unsampled,151,4,1,0
2017,1,Unsampled,151,1,1,695
2017,1,Unsampled,151,1,1,0
2017,1,Unsampled,151,1,1,249
2017,1,Unsampled,151,1,1,0
2017,1,Unsampled,151,1,1,0
2017,1,Unsampled,151,1,1,1031
2017,1,Unsampled,151,1,1,41
2017,1,Unsampled,151,1,1,62
2017,1,Unsampled,151,1,1,0
2017,1,Unsampled,151,1,1,0
2017,1,Unsampled,151,1,1,1885
2017,1,Unsampled,151,1,1,0
2017,1,Unsampled,151,1,1,0
2017,1,Unsampled,151,1,1,0
2017,1,Unsampled,151,1,1,1175
2017,1,Unsampled,151,1,1,481
2017,1,Unsampled,151,1,1,59
2017,1,Unsampled,151,1,1,336
2017,1,Unsampled,151,9,1,619
2017,1,Unsampled,151,1,1,80
2017,1,Unsampled,151,1,1,1000
2017,1,Unsampled,151,1,1,226
2017,1,Unsampled,151,1,1,379
2017,1,Unsampled,151,1,1,2228
2017,1,Unsampled,151,1,1,0
2017,1,Unsampled,151,8,1,141
