Year,Month,Datasource,Portroute,Arrivedepart,Traffictotal,Periodstart,Periodend,AM_PM_night,Haul
2017,2,Air,331,1,0,,,,L
2017,2,Air,341,1,284,,,,L
2017,2,Air,351,1,2034,,,,L
2017,2,Air,361,1,847,,,,L
2017,2,Air,371,1,281,,,,L
2017,2,Air,381,1,11084,,,,L
2017,2,Air,391,1,23547,,,,L
2017,2,Air,401,1,0,,,,L
2017,2,Air,411,1,1399,,,,L
2017,2,Air,421,1,532,,,,L
2017,2,Air,441,1,10265,,,,L
2017,2,Air,451,1,0,,,,L
2017,2,Air,461,1,0,,,,L
2017,2,Air,471,1,0,,,,L
2017,2,Air,481,1,0,,,,L
2017,2,Air,111,1,0,,,,E
2017,2,Air,121,1,60549,,,,E
2017,2,Air,131,1,0,,,,E
2017,2,Air,141,1,0,,,,E
2017,2,Air,151,1,23017,,,,E
2017,2,Air,181,1,65955,,,,E
2017,2,Air,191,1,0,,,,E
2017,2,Air,201,1,60297,,,,E
2017,2,Air,211,1,17929,,,,E
2017,2,Air,221,1,0,,,,E
2017,2,Air,231,1,28644,,,,E
2017,2,Air,241,1,20873,,,,E
2017,2,Air,311,1,41561,,,,E
2017,2,Air,321,1,0,,,,E
2017,2,Air,331,1,1332,,,,E
2017,2,Air,341,1,0,,,,E
2017,2,Air,351,1,18219,,,,E
2017,2,Air,361,1,3975,,,,E
2017,2,Air,371,1,11702,,,,E
2017,2,Air,381,1,26524,,,,E
2017,2,Air,391,1,20272,,,,E
2017,2,Air,401,1,11143,,,,E
2017,2,Air,411,1,23479,,,,E
2017,2,Air,421,1,17263,,,,E
2017,2,Air,441,1,11044,,,,E
2017,2,Air,451,1,0,,,,E
2017,2,Air,461,1,0,,,,E
2017,2,Air,471,1,912,,,,E
2017,2,Air,481,1,5774,,,,E
2017,3,Air,111,1,0,,,,S
2017,3,Air,121,1,242850,,,,S
2017,3,Air,131,1,112218,,,,S
2017,3,Air,141,1,93490,,,,S
2017,3,Air,151,1,343535,,,,S
2017,3,Air,181,1,386792,,,,S
2017,3,Air,191,1,553717,,,,S
2017,3,Air,201,1,627160,,,,S
2017,3,Air,211,1,256659,,,,S
2017,3,Air,221,1,61619,,,,S
2017,3,Air,231,1,160739,,,,S
2017,3,Air,241,1,445875,,,,S
2017,3,Air,311,1,270653,,,,S
2017,3,Air,321,1,0,,,,S
2017,3,Air,331,1,32883,,,,S
2017,3,Air,341,1,53975,,,,S
2017,3,Air,351,1,201248,,,,S
2017,3,Air,361,1,24159,,,,S
2017,3,Air,371,1,104934,,,,S
2017,3,Air,381,1,213391,,,,S
2017,3,Air,391,1,115690,,,,S
2017,3,Air,401,1,89706,,,,S
2017,3,Air,411,1,111883,,,,S
2017,3,Air,421,1,130740,,,,S
2017,3,Air,441,1,92239,,,,S
2017,3,Air,451,1,0,,,,S
2017,3,Air,461,1,0,,,,S
2017,3,Air,471,1,39060,,,,S
2017,3,Air,481,1,22840,,,,S
2017,3,Air,250,1,44903,,,,S
2017,3,Air,350,1,13296,,,,S
2017,3,Air,260,1,56775,,,,S
2017,3,Air,360,1,13637,,,,S
2017,3,Air,111,1,0,,,,L
2017,3,Air,121,1,228518,,,,L
2017,3,Air,131,1,399822,,,,L
2017,3,Air,141,1,221736,,,,L
2017,3,Air,151,1,285391,,,,L
2017,3,Air,181,1,115094,,,,L
2017,3,Air,191,1,131062,,,,L
2017,3,Air,201,1,8274,,,,L
2017,3,Air,211,1,83988,,,,L
2017,3,Air,221,1,75202,,,,L
2017,3,Air,231,1,5506,,,,L
2017,3,Air,241,1,11730,,,,L
2017,3,Air,311,1,71935,,,,L
2017,3,Air,321,1,0,,,,L
2017,3,Air,331,1,0,,,,L
2017,3,Air,341,1,317,,,,L
2017,3,Air,351,1,2203,,,,L
2017,3,Air,361,1,522,,,,L
2017,3,Air,371,1,53,,,,L
2017,3,Air,381,1,15146,,,,L
