YEAR,MONTH,DATASOURCE,PORTROUTE,WEEKDAY,ARRIVEDEPART,AM_PM_NIGHT,SAMPINTERVAL,MIGTOTAL,ORDTOTAL
2017,1,Non Response,219,2,1,1,0,0,0
2017,1,Non Response,219,1,1,2,0,0,0
2017,1,Non Response,219,2,1,2,0,0,0
2017,1,Non Response,221,1,1,1,0,24,0
2017,1,Non Response,221,2,1,1,0,47,0
2017,1,Non Response,221,1,1,2,0,13,0
2017,1,Non Response,221,2,1,2,0,0,0
2017,1,Non Response,223,1,1,1,0,0,0
2017,1,Non Response,223,2,1,2,0,0,0
2017,1,Non Response,223,1,1,2,0,8,0
2017,1,Non Response,231,1,1,1,0,0,0
2017,1,Non Response,231,2,1,1,0,0,0
2017,1,Non Response,231,1,1,2,0,99,0
2017,1,Non Response,231,2,1,2,0,0,0
2017,1,Non Response,234,1,1,1,0,0,0
2017,1,Non Response,234,1,1,1,0,0,0
2017,1,Non Response,234,1,1,2,0,0,0
2017,1,Non Response,241,1,1,1,0,172,0
2017,1,Non Response,241,2,1,1,0,0,0
2017,1,Non Response,241,1,1,2,0,364,0
2017,1,Non Response,241,2,1,2,0,249,0
2017,1,Non Response,243,1,1,1,0,182,0
2017,1,Non Response,243,1,1,2,0,416,0
2017,1,Non Response,243,2,1,1,0,0,0
2017,1,Non Response,243,2,1,2,0,0,0
2017,1,Non Response,311,1,1,1,0,9,0
2017,1,Non Response,311,2,1,1,0,0,0
2017,1,Non Response,311,1,1,2,0,0,0
2017,1,Non Response,311,2,1,2,0,123,0
2017,1,Non Response,313,1,1,1,0,0,0
2017,1,Non Response,313,2,1,1,0,0,0
2017,1,Non Response,313,1,1,2,0,0,0
2017,1,Non Response,313,2,1,2,0,8,0
2017,1,Non Response,321,1,1,1,0,31,0
2017,1,Non Response,321,2,1,1,0,0,0
2017,1,Non Response,321,1,1,2,0,0,0
2017,1,Non Response,321,2,1,2,0,0,0
2017,1,Non Response,331,1,1,1,0,0,0
2017,1,Non Response,331,2,1,1,0,0,0
2017,1,Non Response,331,1,1,2,0,1,0
2017,1,Non Response,331,2,1,2,0,0,0
2017,1,Non Response,341,1,1,1,0,0,0
2017,1,Non Response,341,2,1,1,0,0,0
2017,1,Non Response,341,1,1,2,0,0,0
2017,1,Non Response,341,2,1,2,0,0,0
2017,1,Non Response,351,1,1,1,0,58,0
2017,1,Non Response,351,2,1,1,0,0,0
2017,1,Non Response,351,1,1,2,0,20,0
2017,1,Non Response,351,2,1,2,0,0,0
2017,1,Non Response,361,1,1,1,0,7,0
2017,1,Non Response,361,2,1,1,0,8,0
2017,1,Non Response,361,1,1,2,0,0,0
2017,1,Non Response,361,2,1,2,0,0,0
2017,1,Non Response,371,1,1,1,0,53,0
2017,1,Non Response,371,2,1,1,0,0,0
2017,1,Non Response,371,1,1,2,0,0,0
2017,1,Non Response,371,2,1,2,0,26,0
2017,1,Non Response,381,1,1,1,0,5,0
2017,1,Non Response,381,2,1,1,0,0,0
2017,1,Non Response,381,1,1,2,0,2,0
2017,1,Non Response,381,2,1,2,0,0,0
2017,1,Non Response,382,1,1,1,0,0,0
2017,1,Non Response,382,2,1,1,0,0,0
2017,1,Non Response,382,1,1,2,0,0,0
2017,1,Non Response,382,2,1,2,0,0,0
2017,1,Non Response,391,1,1,1,0,5,0
2017,1,Non Response,391,2,1,1,0,0,0
2017,1,Non Response,391,1,1,2,0,15,0
2017,1,Non Response,391,2,1,2,0,0,0
2017,1,Non Response,393,1,1,1,0,0,0
2017,1,Non Response,393,1,1,2,0,9,0
2017,1,Non Response,393,2,1,1,0,0,0
2017,1,Non Response,393,2,2,1,0,0,0
2017,1,Non Response,393,2,1,2,0,0,0
2017,1,Non Response,401,1,1,1,0,0,0
2017,1,Non Response,401,2,1,1,0,11,0
2017,1,Non Response,401,1,1,2,0,0,0
2017,1,Non Response,401,2,1,2,0,0,0
2017,1,Non Response,411,1,1,1,0,0,0
2017,1,Non Response,411,2,1,1,0,38,0
2017,1,Non Response,411,1,1,2,0,42,0
2017,1,Non Response,411,2,1,2,0,0,0
2017,1,Non Response,421,1,1,1,0,42,0
2017,1,Non Response,421,2,1,1,0,0,0
2017,1,Non Response,421,1,1,2,0,61,0
2017,1,Non Response,421,2,1,2,0,0,0
2017,1,Non Response,441,1,1,1,0,0,0
2017,1,Non Response,441,2,1,1,0,30,0
2017,1,Non Response,441,1,1,2,0,74,0
2017,1,Non Response,441,2,1,2,0,0,0
2017,1,Non Response,443,1,1,1,0,0,0
2017,1,Non Response,443,2,1,1,0,0,0
2017,1,Non Response,443,1,1,2,0,0,0
2017,1,Non Response,451,1,1,1,0,0,0
2017,1,Non Response,451,2,1,1,0,0,0
2017,1,Non Response,451,1,1,2,0,0,0
2017,1,Non Response,451,2,1,2,0,0,0
2017,1,Non Response,461,1,1,1,0,0,0
2017,1,Non Response,461,2,1,1,0,0,0
2017,1,Non Response,461,1,1,2,0,0,0
2017,1,Non Response,461,2,1,2,0,0,0
2017,1,Non Response,471,1,1,1,0,0,0
2017,1,Non Response,471,2,1,1,0,0,0
2017,1,Non Response,471,1,1,2,0,0,0
2017,1,Non Response,471,2,1,2,0,0,0
2017,1,Non Response,481,1,1,1,0,0,0
2017,1,Non Response,481,2,1,1,0,0,0
2017,1,Non Response,481,1,1,2,0,0,0
2017,1,Non Response,481,2,1,2,0,0,0
2017,1,Non Response,611,1,1,1,0,16,0
2017,1,Non Response,611,2,1,1,0,1,0
2017,1,Non Response,611,1,1,2,0,28,0
2017,1,Non Response,611,2,1,2,0,3,0
2017,1,Non Response,611,1,1,3,0,1,0
2017,1,Non Response,611,2,1,3,0,0,0
2017,1,Non Response,612,1,1,1,0,3,0
2017,1,Non Response,612,2,1,1,0,0,0
2017,1,Non Response,612,1,1,2,0,6,0
2017,1,Non Response,612,2,1,2,0,0,0
2017,1,Non Response,612,1,1,3,0,0,0
2017,1,Non Response,612,2,1,3,0,1,0
2017,1,Non Response,613,1,1,1,0,0,0
2017,1,Non Response,613,2,1,1,0,0,0
2017,1,Non Response,613,1,1,2,0,0,0
2017,1,Non Response,613,2,1,2,0,0,0
2017,1,Non Response,613,1,1,3,0,0,0
2017,1,Non Response,613,2,1,3,0,0,0
2017,1,Non Response,621,1,1,1,0,0,0
2017,1,Non Response,621,2,1,1,0,0,0
2017,1,Non Response,621,1,1,2,0,0,0
2017,1,Non Response,621,2,1,2,0,0,0
2017,1,Non Response,631,1,1,1,0,0,0
2017,1,Non Response,631,2,1,1,0,0,0
2017,1,Non Response,631,1,1,2,0,0,0
2017,1,Non Response,631,2,1,2,0,0,0
2017,1,Non Response,632,1,1,1,0,0,0
2017,1,Non Response,632,2,1,1,0,0,0
2017,1,Non Response,632,1,1,2,0,0,0
2017,1,Non Response,632,2,1,2,0,0,0
2017,1,Non Response,633,1,1,1,0,0,0
2017,1,Non Response,633,2,1,1,0,0,0
2017,1,Non Response,633,1,1,2,0,0,0
2017,1,Non Response,633,2,1,2,0,0,0
2017,1,Non Response,634,1,1,1,0,0,0
2017,1,Non Response,634,2,1,1,0,0,0
2017,1,Non Response,634,1,1,2,0,0,0
2017,1,Non Response,634,2,1,2,0,0,0
2017,1,Non Response,635,1,1,1,0,0,0
2017,1,Non Response,635,2,1,1,0,0,0
2017,1,Non Response,635,1,1,2,0,0,0
2017,1,Non Response,635,2,1,2,0,0,0
2017,1,Non Response,641,1,1,1,0,0,0
2017,1,Non Response,641,2,1,1,0,0,0
2017,1,Non Response,641,1,1,2,0,0,0
2017,1,Non Response,641,2,1,2,0,0,0
2017,1,Non Response,651,1,1,1,0,0,0
2017,1,Non Response,651,2,1,1,0,0,0
2017,1,Non Response,651,1,1,2,0,0,0
2017,1,Non Response,651,2,1,2,0,0,0
2017,1,Non Response,661,1,1,1,0,0,0
2017,1,Non Response,661,2,1,1,0,0,0
2017,1,Non Response,661,1,1,2,0,0,0
2017,1,Non Response,661,2,1,2,0,0,0
2017,1,Non Response,662,1,1,1,0,0,0
2017,1,Non Response,662,2,1,1,0,0,0
2017,1,Non Response,662,1,1,2,0,0,0
2017,1,Non Response,662,2,1,2,0,0,0
2017,1,Non Response,671,1,1,1,0,0,0
2017,1,Non Response,671,2,1,1,0,0,0
2017,1,Non Response,671,1,1,2,0,0,0
2017,1,Non Response,671,2,1,2,0,0,0
2017,1,Non Response,672,1,1,1,0,0,0
2017,1,Non Response,672,2,1,1,0,0,0
2017,1,Non Response,672,1,1,2,0,0,0
2017,1,Non Response,672,2,1,2,0,0,0
2017,1,Non Response,682,1,1,1,0,0,0
2017,1,Non Response,682,2,1,1,0,0,0
2017,1,Non Response,682,1,1,2,0,0,0
2017,1,Non Response,682,2,1,2,0,0,0
2017,1,Non Response,691,1,1,1,0,0,0
2017,1,Non Response,691,2,1,1,0,0,0
2017,1,Non Response,691,1,1,2,0,0,0
2017,1,Non Response,691,2,1,2,0,0,0
2017,1,Non Response,692,1,1,1,0,0,0
2017,1,Non Response,692,2,1,1,0,0,0
2017,1,Non Response,692,1,1,2,0,0,0
2017,1,Non Response,692,2,1,2,0,0,0
2017,1,Non Response,701,1,1,1,0,0,0
2017,1,Non Response,701,2,1,1,0,0,0
2017,1,Non Response,701,1,1,2,0,0,0
2017,1,Non Response,701,2,1,2,0,0,0
2017,1,Non Response,701,1,1,3,0,5,0
2017,1,Non Response,701,2,1,3,0,0,0
2017,1,Non Response,701,2,2,3,0,0,0
2017,1,Non Response,711,1,1,1,0,0,0
2017,1,Non Response,711,2,1,1,0,0,0
2017,1,Non Response,711,1,1,2,0,0,0
2017,1,Non Response,711,2,1,2,0,0,0
2017,1,Non Response,721,1,1,1,0,0,0
2017,1,Non Response,721,2,1,1,0,0,0
2017,1,Non Response,721,1,1,2,0,0,0
2017,1,Non Response,721,2,1,2,0,0,0
2017,1,Non Response,722,1,1,1,0,0,0
2017,1,Non Response,722,2,1,1,0,0,0
2017,1,Non Response,722,1,1,2,0,0,0
2017,1,Non Response,722,2,1,2,0,0,0
2017,1,Non Response,731,2,1,2,0,0,0
2017,1,Non Response,811,1,1,1,0,1,0
2017,1,Non Response,811,2,1,1,0,0,0
2017,1,Non Response,811,1,1,2,0,0,0
2017,1,Non Response,811,2,1,2,0,3,0
2017,1,Non Response,811,1,1,3,0,3,0
2017,1,Non Response,811,2,1,3,0,0,0
2017,1,Non Response,812,1,1,1,0,0,0
2017,1,Non Response,812,2,1,1,0,0,0
2017,1,Non Response,812,1,1,2,0,0,0
2017,1,Non Response,812,2,1,2,0,0,0
2017,1,Non Response,812,1,1,3,0,0,0
2017,1,Non Response,812,2,1,3,0,0,0
2017,1,Non Response,911,1,1,1,0,48,0
2017,1,Non Response,911,2,1,1,0,74,0
2017,1,Non Response,911,1,1,2,0,146,0
2017,1,Non Response,911,2,1,2,0,72,0
2017,1,Non Response,913,1,1,1,0,147,0
2017,1,Non Response,913,2,1,1,0,0,0
2017,1,Non Response,913,1,1,2,0,203,0
2017,1,Non Response,921,1,1,1,0,0,0
2017,1,Non Response,921,2,1,1,0,0,0
2017,1,Non Response,921,1,1,2,0,0,0
2017,1,Non Response,921,2,1,2,0,0,0
2017,1,Non Response,951,1,1,1,0,0,0
