,SHIFT_PORT_GRP_PV,ARRIVEDEPART,WEEKDAY_END_PV,AM_PM_NIGHT_PV,MIGSI,POSS_SHIFT_CROSS,SAMP_SHIFT_CROSS,MIN_SH_WT,MEAN_SH_WT,MAX_SH_WT,COUNT_RESPS,SUM_SH_WT
50,221,1,1.0,1.0,5.0,130.0,11.0,55.0,55.0,55.0,91.0,5005.0
51,221,1,1.0,1.0,10.0,130.0,11.0,110.0,110.0,110.0,75.0,8250.0
52,221,1,1.0,1.0,20.0,130.0,11.0,220.0,220.0,220.0,241.0,53020.0
53,221,1,2.0,1.0,10.0,50.0,6.0,80.0,80.0,80.0,117.0,9360.0
54,221,1,2.0,1.0,20.0,50.0,6.0,160.0,160.0,160.0,123.0,19680.0
22,221,1,,,,,17.0,55.0,220.0,,647.0,95315.0
55,221,2,1.0,1.0,6.0,130.0,10.0,78.0,78.0,78.0,31.0,2418.0
56,221,2,1.0,1.0,10.0,130.0,10.0,130.0,130.0,130.0,334.0,43420.0
57,221,2,1.0,1.0,20.0,130.0,10.0,260.0,260.0,260.0,236.0,61360.0
58,221,2,2.0,1.0,10.0,50.0,8.0,60.0,60.0,60.0,16.0,960.0
59,221,2,2.0,1.0,20.0,50.0,8.0,120.0,120.0,120.0,344.0,41280.0
23,221,2,,,,,18.0,60.0,260.0,,961.0,149438.0
280,223,1,1.0,1.0,,130.0,0.0,,,,,
281,223,1,2.0,1.0,,50.0,0.0,,,,,
282,223,2,1.0,1.0,,130.0,0.0,,,,,
283,223,2,2.0,1.0,,50.0,0.0,,,,,
60,231,1,1.0,1.0,6.0,130.0,5.0,156.0,156.0,156.0,69.0,10764.0
61,231,1,1.0,1.0,10.0,130.0,5.0,260.0,260.0,260.0,349.0,90740.0
62,231,1,2.0,1.0,10.0,50.0,1.0,500.0,500.0,500.0,60.0,30000.0
24,231,1,,,,,6.0,156.0,500.0,,478.0,131504.0
63,231,2,1.0,1.0,10.0,130.0,7.0,180.0,180.0,180.0,605.0,108900.0
64,231,2,2.0,1.0,10.0,50.0,3.0,160.0,160.0,160.0,196.0,31360.0
25,231,2,,,,,10.0,160.0,180.0,,801.0,140260.0
284,233,1,1.0,1.0,,130.0,0.0,,,,,
285,233,1,2.0,1.0,,50.0,0.0,,,,,
286,233,2,1.0,1.0,,130.0,0.0,,,,,
287,233,2,2.0,1.0,,50.0,0.0,,,,,
288,234,1,1.0,1.0,,130.0,0.0,,,,,
289,234,1,2.0,1.0,,50.0,0.0,,,,,
290,234,2,1.0,1.0,,130.0,0.0,,,,,
291,234,2,2.0,1.0,,50.0,0.0,,,,,
65,241,1,1.0,1.0,10.0,130.0,19.0,60.0,60.0,60.0,1206.0,72360.0
66,241,1,1.0,1.0,20.0,130.0,19.0,120.0,120.0,120.0,75.0,9000.0
67,241,1,2.0,1.0,20.0,50.0,2.0,500.0,500.0,500.0,219.0,109500.0
26,241,1,,,,,21.0,60.0,500.0,,1500.0,190860.0
68,241,2,1.0,1.0,20.0,130.0,7.0,360.0,360.0,360.0,758.0,272880.0
69,241,2,2.0,1.0,20.0,50.0,3.0,320.0,320.0,320.0,337.0,107840.0
27,241,2,,,,,10.0,320.0,360.0,,1095.0,380720.0
292,243,1,1.0,1.0,,130.0,0.0,,,,,
293,243,1,2.0,1.0,,50.0,0.0,,,,,
294,243,2,1.0,1.0,,130.0,0.0,,,,,
295,243,2,2.0,1.0,,50.0,0.0,,,,,
296,249,1,1.0,1.0,,130.0,0.0,,,,,
297,249,1,2.0,1.0,,50.0,0.0,,,,,
298,249,2,1.0,1.0,,130.0,0.0,,,,,
299,249,2,2.0,1.0,,50.0,0.0,,,,,
70,311,1,1.0,1.0,6.0,130.0,6.0,126.0,126.0,126.0,62.0,7812.0
71,311,1,1.0,1.0,10.0,130.0,6.0,210.0,210.0,210.0,284.0,59640.0
72,311,1,2.0,1.0,10.0,50.0,5.0,100.0,100.0,100.0,230.0,23000.0
28,311,1,,,,,11.0,100.0,210.0,,576.0,90452.0
73,311,2,1.0,1.0,10.0,130.0,10.0,130.0,130.0,130.0,1047.0,136110.0
74,311,2,2.0,1.0,10.0,50.0,3.0,160.0,160.0,160.0,270.0,43200.0
29,311,2,,,,,13.0,130.0,160.0,,1317.0,179310.0
300,313,1,1.0,1.0,,130.0,0.0,,,,,
301,313,1,2.0,1.0,,50.0,0.0,,,,,
302,313,2,1.0,1.0,,130.0,0.0,,,,,
303,313,2,2.0,1.0,,50.0,0.0,,,,,
304,319,1,1.0,1.0,,130.0,0.0,,,,,
305,319,1,2.0,1.0,,50.0,0.0,,,,,
306,319,2,1.0,1.0,,130.0,0.0,,,,,
307,319,2,2.0,1.0,,50.0,0.0,,,,,
75,321,1,1.0,1.0,10.0,130.0,3.0,430.0,430.0,430.0,193.0,82990.0
308,321,1,2.0,1.0,,50.0,0.0,,,,,
30,321,1,,,,,3.0,430.0,430.0,,193.0,82990.0
76,321,2,1.0,1.0,10.0,130.0,2.0,650.0,650.0,650.0,136.0,88400.0
77,321,2,2.0,1.0,10.0,50.0,2.0,250.0,250.0,250.0,147.0,36750.0
31,321,2,,,,,4.0,250.0,650.0,,283.0,125150.0
309,323,1,1.0,1.0,,130.0,0.0,,,,,
310,323,1,2.0,1.0,,50.0,0.0,,,,,
311,323,2,1.0,1.0,,130.0,0.0,,,,,
312,323,2,2.0,1.0,,50.0,0.0,,,,,
78,331,1,1.0,1.0,10.0,130.0,4.0,320.0,320.0,320.0,70.0,22400.0
313,331,1,2.0,1.0,,50.0,0.0,,,,,
32,331,1,,,,,4.0,320.0,320.0,,70.0,22400.0
79,331,2,1.0,1.0,10.0,130.0,4.0,320.0,320.0,320.0,72.0,23040.0
314,331,2,2.0,1.0,,50.0,0.0,,,,,
33,331,2,,,,,4.0,320.0,320.0,,72.0,23040.0
80,341,1,1.0,1.0,10.0,130.0,3.0,430.0,430.0,430.0,73.0,31390.0
81,341,1,2.0,1.0,10.0,50.0,3.0,160.0,160.0,160.0,168.0,26880.0
34,341,1,,,,,6.0,160.0,430.0,,241.0,58270.0
82,341,2,1.0,1.0,10.0,130.0,5.0,260.0,260.0,260.0,169.0,43940.0
83,341,2,2.0,1.0,10.0,50.0,1.0,500.0,500.0,500.0,50.0,25000.0
35,341,2,,,,,6.0,260.0,500.0,,219.0,68940.0
84,351,1,1.0,1.0,10.0,130.0,7.0,180.0,180.0,180.0,524.0,94320.0
85,351,1,2.0,1.0,10.0,50.0,4.0,120.0,120.0,120.0,323.0,38760.0
36,351,1,,,,,11.0,120.0,180.0,,847.0,133080.0
86,351,2,1.0,1.0,10.0,130.0,9.0,140.0,140.0,140.0,1040.0,145600.0
87,351,2,2.0,1.0,10.0,50.0,2.0,250.0,250.0,250.0,215.0,53750.0
37,351,2,,,,,11.0,140.0,250.0,,1255.0,199350.0
