,SERIAL,SPEND,SPENDIMPREASON,FARE,FAREK
3949,4.12238757094e+11,,,,
3950,4.12238757096e+11,,,,
3951,4.12238757111e+11,,,316.0,3.0
3952,4.12238757121e+11,,,,
3953,4.12238757122e+11,,,121.0,6.0
3954,4.12238769011e+11,,,,
3955,4.12238769012e+11,,,118.0,1.0
3956,4.12238769031e+11,,,,
3957,4.12238769033e+11,,,,
3958,4.12238769038e+11,,,64.0,5.0
3959,4.1223876904e+11,,,280.0,5.0
3960,4.12238769044e+11,,,87.0,3.0
3961,4.12238769063e+11,,,107.0,3.0
3962,4.12238769064e+11,,,137.0,1.0
3963,4.12238769066e+11,,,78.0,5.0
3964,4.12238769069e+11,,,78.0,5.0
3965,4.12238769072e+11,65.0,,463.0,6.0
3966,4.12238769075e+11,,,,
3967,4.12238769093e+11,,,310.0,5.0
3968,4.12238769097e+11,,,260.0,5.0
3969,4.1223876911e+11,,,,
3970,4.1223876912e+11,,,282.0,5.0
3971,4.12238769123e+11,,,118.0,6.0
3972,4.12238860002e+11,,,107.0,3.0
3973,4.12238860005e+11,,,,
3974,4.12238860009e+11,2415.0,,107.0,3.0
3975,4.12238860023e+11,,,34.0,4.0
3976,4.12238860039e+11,115.0,,133.0,5.0
3977,4.12238860041e+11,,,,
3978,4.12238860049e+11,,,,
3979,4.12238860051e+11,,,280.0,5.0
3980,4.12238860052e+11,,,118.0,1.0
3981,4.12238860054e+11,,,312.0,1.0
3982,4.12238860059e+11,,,463.0,6.0
3983,4.12238860062e+11,,,,
3984,4.12238860065e+11,215.0,,224.0,4.0
3985,4.12238860068e+11,115.0,,155.0,5.0
3986,4.12238860076e+11,115.0,,144.0,4.0
3987,4.12238860089e+11,75.0,,105.0,5.0
3988,4.12238860103e+11,,,,
3989,4.12238860105e+11,,,222.0,1.0
3990,4.12238860106e+11,,,316.0,3.0
3991,4.12238860108e+11,,,,
3992,4.12238860128e+11,,,417.0,5.0
3993,4.12238917003e+11,0.0,,101.0,7.0
3994,4.12238917007e+11,,,282.0,5.0
3995,4.12238917008e+11,,,306.0,4.0
3996,4.1223891701e+11,,,,
3997,4.12238917015e+11,,,,
3998,4.12238917018e+11,120.0,,87.0,3.0
3999,4.12238917021e+11,,,,
4000,4.12238917024e+11,,,,
4001,4.12238917037e+11,,,,
4002,4.12238917053e+11,,,,
4003,4.12238917055e+11,,,,
4004,4.12238917057e+11,,,,
4005,4.12238917061e+11,1600.0,,312.0,1.0
4006,4.12238917078e+11,,,,
4007,4.12238917081e+11,565.0,,105.0,5.0
4008,4.12238917083e+11,,,,
4009,4.12238917087e+11,,,,
4010,4.12238917088e+11,,,,
4011,4.12238917104e+11,,,,
4012,4.12238917109e+11,,,,
4013,4.12238917112e+11,,,,
4014,4.12238917126e+11,,,,
4015,4.12240000014e+11,373.0,,1750.0,
4016,4.12240000048e+11,1028.0,,540.0,
4017,4.12240000091e+11,,,147.0,7.0
4018,4.12248102012e+11,,,241.0,3.0
4019,4.12248102015e+11,,,279.0,3.0
4020,4.12248102016e+11,,,,
4021,4.12248102018e+11,,,309.0,3.0
4022,4.12248102021e+11,,,260.0,5.0
4023,4.12248102028e+11,,,282.0,5.0
4024,4.1224810203e+11,,,107.0,3.0
4025,4.12248102032e+11,,,222.0,1.0
4026,4.12248102035e+11,,,316.0,3.0
4027,4.12248102045e+11,,,41.0,4.0
4028,4.12248102047e+11,,,309.0,3.0
4029,4.1224810205e+11,,,91.0,4.0
4030,4.12248102057e+11,,,306.0,4.0
4031,4.1224810207e+11,,,304.0,5.0
4032,4.12248102072e+11,,,207.0,5.0
4033,4.12248102074e+11,,,207.0,5.0
4034,4.12248102078e+11,,,479.0,1.0
4035,4.12248102086e+11,100.0,,60.0,
4036,4.12248443013e+11,,,,
4037,4.12248443019e+11,,,279.0,3.0
4038,4.1224844302e+11,,,87.0,3.0
4039,4.12248443022e+11,,,279.0,3.0
4040,4.12248443026e+11,,,87.0,3.0
4041,4.12248443039e+11,,,87.0,3.0
4042,4.12248443044e+11,,,279.0,3.0
4043,4.12248443046e+11,,,,
4044,4.12248443049e+11,,,,
4045,4.12248443052e+11,,,118.0,1.0
4046,4.12248443054e+11,,,118.0,1.0
4047,4.12248443073e+11,,,304.0,5.0
4048,4.12248443075e+11,,,,
4049,4.12248443076e+11,,,309.0,3.0
4050,4.1224844308e+11,,,309.0,3.0
4051,4.12248443088e+11,,,,
4052,4.1224844309e+11,,,147.0,7.0
4053,4.12248757008e+11,,,304.0,5.0
4054,4.12248757009e+11,,,312.0,1.0
4055,4.12248757011e+11,,,260.0,5.0
4056,4.12248757024e+11,,,282.0,5.0
4057,4.12248757027e+11,,,304.0,5.0
4058,4.12248757036e+11,,,316.0,3.0
4059,4.12248757038e+11,,,304.0,5.0
4060,4.12248757055e+11,,,118.0,1.0
4061,4.12248757063e+11,,,,
4062,4.12248757068e+11,,,64.0,5.0
4063,4.12248757082e+11,,,304.0,5.0
4064,4.12248757087e+11,,,41.0,4.0
4065,4.12248759002e+11,915.0,,500.0,
4066,4.12248759005e+11,,,282.0,5.0
4067,4.12248759023e+11,,,,
4068,4.12248759025e+11,,,310.0,5.0
4069,4.12248759029e+11,,,,
4070,4.12248759031e+11,,,,
4071,4.1224875904e+11,,,282.0,5.0
4072,4.12248759051e+11,,,,
4073,4.12248759053e+11,,,304.0,5.0
4074,4.12248759056e+11,,,,
4075,4.12248759058e+11,,,306.0,4.0
4076,4.12248759059e+11,,,309.0,3.0
4077,4.12248759083e+11,,,91.0,4.0
4078,4.12248759089e+11,,,87.0,3.0
4079,4.12248797001e+11,,,147.0,7.0
4080,4.12248797004e+11,,,310.0,5.0
4081,4.1224879701e+11,500.0,,474.0,7.0
4082,4.12248797033e+11,,,222.0,1.0
4083,4.12248797043e+11,,,282.0,5.0
4084,4.12248797061e+11,,,306.0,4.0
4085,4.12248797066e+11,1500.0,,306.0,4.0
4086,4.12248797071e+11,500.0,,474.0,7.0
4087,4.12248797077e+11,,,479.0,1.0
4088,4.12248797079e+11,,,,
4089,4.12248797081e+11,,,115.0,5.0
4090,4.12248797084e+11,,,,
4091,4.12248797085e+11,,,306.0,4.0
4092,4.12248864003e+11,,,282.0,5.0
4093,4.12248864006e+11,,,309.0,3.0
4094,4.12248864007e+11,,,309.0,3.0
4095,4.12248864017e+11,,,279.0,3.0
4096,4.12248864034e+11,,,309.0,3.0
4097,4.12248864037e+11,,,87.0,3.0
4098,4.12248864041e+11,,,115.0,5.0
4099,4.12248864042e+11,,,279.0,3.0
4100,4.1224886406e+11,,,78.0,5.0
4101,4.12248864062e+11,,,,
4102,4.12248864064e+11,,,316.0,3.0
4103,4.12248864065e+11,,,309.0,3.0
4104,4.12248864067e+11,,,64.0,5.0
4105,4.12248864069e+11,,,279.0,3.0
4106,4.12260000003e+11,,,87.0,3.0
4107,4.12260000019e+11,,,121.0,6.0
4108,4.12260000021e+11,,,,
4109,4.12260000026e+11,,,,
4110,4.12260000035e+11,5000.0,,2500.0,
4111,4.12260000045e+11,,,282.0,5.0
4112,4.12268337006e+11,,,,
4113,4.12268337007e+11,,,107.0,3.0
4114,4.12268337009e+11,,,279.0,3.0
4115,4.12268337022e+11,,,,
4116,4.12268337029e+11,,,,
4117,4.12268337047e+11,,,99.0,5.0
4118,4.12268337049e+11,,,69.0,5.0
4119,4.12268337067e+11,,,115.0,5.0
4120,4.12268337069e+11,,,222.0,1.0
4121,4.12268337071e+11,,,,
4122,4.12268337073e+11,,,316.0,3.0
4123,4.12268337074e+11,,,222.0,1.0
4124,4.12268337078e+11,,,282.0,5.0
4125,4.12268337091e+11,,,,
4126,4.12268337092e+11,1500.0,,440.0,
4127,4.12268337097e+11,,,,
4128,4.12268337099e+11,,,,
4129,4.12268341002e+11,,,107.0,3.0
4130,4.12268341013e+11,,,279.0,3.0
4131,4.12268341014e+11,,,87.0,3.0
4132,4.12268341015e+11,,,,
4133,4.12268341017e+11,50.0,,95.0,
4134,4.12268341028e+11,,,107.0,3.0
4135,4.12268341031e+11,,,316.0,6.0
4136,4.12268341037e+11,,,316.0,6.0
4137,4.12268341038e+11,,,87.0,3.0
4138,4.12268341052e+11,,,115.0,5.0
4139,4.12268341059e+11,,,417.0,5.0
4140,4.12268341061e+11,,,282.0,5.0
4141,4.12268341063e+11,,,64.0,5.0
4142,4.12268341065e+11,,,75.0,5.0
4143,4.1226834107e+11,550.0,,95.0,
4144,4.12268341083e+11,,,,
4145,4.12268341089e+11,,,282.0,5.0
4146,4.12268341094e+11,,,309.0,3.0
4147,4.12268341096e+11,195.0,,65.0,
4148,4.122683411e+11,150.0,,115.0,
4149,4.12268341102e+11,,,,
4150,4.12268341104e+11,,,64.0,5.0
4151,4.12268725001e+11,,,118.0,6.0
4152,4.1226872501e+11,,,,
4153,4.12268725012e+11,,,,
4154,4.12268725023e+11,,,121.0,6.0
4155,4.12268725025e+11,,,,
4156,4.12268725027e+11,,,417.0,5.0
4157,4.12268725048e+11,,,107.0,3.0
4158,4.1226872505e+11,100.0,,100.0,
4159,4.12268725058e+11,,,282.0,5.0
4160,4.1226872506e+11,,,282.0,5.0
4161,4.12268725062e+11,,,,
4162,4.12268725075e+11,,,78.0,5.0
4163,4.12268725076e+11,,,282.0,5.0
4164,4.12268725077e+11,,,282.0,5.0
4165,4.12268725079e+11,,,310.0,5.0
4166,4.12268725081e+11,,,282.0,5.0
4167,4.12268725082e+11,,,,
4168,4.12268725085e+11,,,,
4169,4.12268818004e+11,,,316.0,6.0
4170,4.12268818024e+11,1000.0,,250.0,
4171,4.1226881803e+11,,,,
4172,4.12268818033e+11,,,282.0,5.0
4173,4.12268818034e+11,,,147.0,7.0
4174,4.12268818036e+11,,,310.0,5.0
4175,4.12268818039e+11,,,75.0,5.0
4176,4.12268818041e+11,,,310.0,5.0
4177,4.12268818042e+11,,,310.0,5.0
4178,4.12268818053e+11,,,107.0,3.0
4179,4.12268818055e+11,,,107.0,3.0
4180,4.12268818056e+11,,,64.0,5.0
4181,4.12268818064e+11,,,107.0,3.0
4182,4.12268818066e+11,,,87.0,3.0
4183,4.12268818068e+11,,,222.0,1.0
4184,4.12268818072e+11,150.0,,280.0,
4185,4.12268818087e+11,,,,
4186,4.12268818088e+11,,,310.0,5.0
4187,4.12268818093e+11,,,,
4188,4.12268818095e+11,,,296.0,3.0
4189,4.12268818098e+11,,,,
4190,4.12268818101e+11,,,,
4191,4.12268818103e+11,,,115.0,5.0
4192,4.12268854005e+11,,,64.0,5.0
4193,4.12268854008e+11,1110.0,,250.0,
4194,4.12268854011e+11,2000.0,,125.0,
4195,4.12268854016e+11,,,,
4196,4.12268854018e+11,1500.0,,125.0,
4197,4.1226885402e+11,,,,
4198,4.12268854032e+11,,,107.0,3.0
4199,4.1226885404e+11,,,310.0,5.0
4200,4.12268854043e+11,,,,
4201,4.12268854044e+11,,,118.0,1.0
4202,4.12268854046e+11,879.0,,264.0,
4203,4.12268854051e+11,,,310.0,5.0
4204,4.12268854054e+11,,,,
4205,4.12268854057e+11,,,115.0,5.0
4206,4.1226885408e+11,,,282.0,5.0
4207,4.12268854084e+11,,,310.0,5.0
4208,4.12268854086e+11,,,282.0,5.0
4209,4.1226885409e+11,,,87.0,3.0
4210,4.12270000034e+11,815.0,,133.0,5.0
4211,4.12278049013e+11,1015.0,,474.0,7.0
4212,4.12278049037e+11,415.0,,196.0,5.0
4213,4.12278049041e+11,,,,
4214,4.12278049044e+11,,,310.0,5.0
4215,4.12278049046e+11,815.0,,224.0,4.0
4216,4.12278049077e+11,,,,
4217,4.12278049078e+11,,,87.0,3.0
4218,4.122780491e+11,755.0,,137.0,1.0
4219,4.12278049101e+11,515.0,,1104.0,5.0
4220,4.12278049103e+11,,,296.0,3.0
4221,4.12278049106e+11,765.0,,282.0,5.0
4222,4.12278049108e+11,315.0,,155.0,5.0
4223,4.12278049111e+11,,,,
4224,4.12278049114e+11,,,282.0,5.0
4225,4.12278049143e+11,,,52.0,4.0
4226,4.12278049144e+11,,,91.0,4.0
4227,4.12278102001e+11,,,,
4228,4.12278102007e+11,,,160.0,5.0
4229,4.12278102009e+11,,,,
4230,4.12278102011e+11,,,75.0,5.0
4231,4.12278102024e+11,,,133.0,5.0
4232,4.12278102026e+11,,,147.0,7.0
4233,4.12278102033e+11,,,,
4234,4.1227810205e+11,,,316.0,6.0
4235,4.12278102057e+11,,,41.0,4.0
4236,4.12278102061e+11,433.0,,279.0,3.0
4237,4.12278102063e+11,,,,
4238,4.12278102065e+11,,,312.0,3.0
4239,4.12278102067e+11,,,282.0,5.0
4240,4.1227810207e+11,,,118.0,6.0
4241,4.12278102073e+11,,,,
4242,4.12278102076e+11,0.0,,52.0,4.0
4243,4.12278102089e+11,,,69.0,5.0
4244,4.12278102091e+11,,,144.0,4.0
4245,4.12278102092e+11,,,,
4246,4.12278102094e+11,,,64.0,5.0
4247,4.12278102096e+11,,,,
4248,4.12278102098e+11,,,280.0,5.0
4249,4.12278102112e+11,,,,
4250,4.12278102113e+11,,,241.0,3.0
4251,4.12278102116e+11,,,147.0,7.0
4252,4.12278102118e+11,,,417.0,5.0
4253,4.1227810212e+11,,,,
4254,4.12278102123e+11,325.0,,306.0,4.0
4255,4.12278102124e+11,,,,
4256,4.12278102147e+11,,,316.0,6.0
4257,4.12278222006e+11,,,,
4258,4.12278222023e+11,,,279.0,3.0
4259,4.12278222029e+11,,,91.0,4.0
4260,4.1227822204e+11,,,91.0,4.0
4261,4.12278222043e+11,,,304.0,5.0
4262,4.12278222048e+11,115.0,,99.0,5.0
4263,4.12278222052e+11,,,115.0,5.0
4264,4.12278222054e+11,,,,
4265,4.12278222059e+11,,,207.0,5.0
4266,4.12278222107e+11,,,,
4267,4.1227822211e+11,,,280.0,5.0
4268,4.12278222127e+11,,,310.0,5.0
4269,4.12278222128e+11,,,282.0,5.0
4270,4.12278222129e+11,15.0,,463.0,6.0
4271,4.1227822213e+11,,,310.0,5.0
4272,4.12278222131e+11,,,463.0,6.0
4273,4.12278222134e+11,,,282.0,5.0
4274,4.12278222136e+11,4015.0,,463.0,6.0
4275,4.12278222137e+11,215.0,,474.0,7.0
4276,4.12278222138e+11,,,,
4277,4.12278222139e+11,,,296.0,3.0
4278,4.1227822214e+11,,,91.0,4.0
4279,4.12278222141e+11,,,127.0,3.0
4280,4.12278222142e+11,,,92.0,4.0
4281,4.12278267002e+11,,,,
4282,4.12278267016e+11,,,279.0,3.0
4283,4.12278267017e+11,,,118.0,6.0
4284,4.1227826702e+11,,,184.0,3.0
4285,4.12278267036e+11,,,99.0,5.0
4286,4.12278267039e+11,,,52.0,4.0
4287,4.12278267042e+11,,,,
4288,4.12278267045e+11,,,107.0,3.0
4289,4.12278267047e+11,,,312.0,3.0
4290,4.12278267066e+11,,,,
4291,4.12278267068e+11,,,296.0,3.0
4292,4.12278267071e+11,,,,
4293,4.12278267074e+11,0.0,,107.0,3.0
4294,4.12278267079e+11,,,,
4295,4.12278267102e+11,,,147.0,7.0
4296,4.12278267104e+11,,,52.0,4.0
4297,4.12278267105e+11,,,,
4298,4.12278267125e+11,,,69.0,5.0
4299,4.12278267145e+11,10315.0,,316.0,6.0
4300,4.12278757004e+11,,,107.0,3.0
4301,4.12278757008e+11,,,115.0,5.0
4302,4.12278757012e+11,,,,
4303,4.12278757014e+11,,,279.0,3.0
4304,4.12278757015e+11,,,,
4305,4.12278757018e+11,,,279.0,3.0
4306,4.12278757019e+11,,,,
4307,4.12278757032e+11,165.0,,312.0,3.0
4308,4.12278757051e+11,2085.0,,160.0,5.0
4309,4.12278757053e+11,,,,
4310,4.12278757055e+11,,,,
4311,4.12278757069e+11,85.0,,149.0,3.0
4312,4.12278757072e+11,,,,
4313,4.12278757075e+11,,,115.0,5.0
4314,4.1227875708e+11,,,,
4315,4.12278757081e+11,,,64.0,5.0
4316,4.12278757083e+11,,,87.0,3.0
4317,4.12278757086e+11,,,222.0,1.0
4318,4.12278757088e+11,,,144.0,4.0
4319,4.12278757115e+11,415.0,,282.0,5.0
4320,4.12278757119e+11,,,144.0,4.0
4321,4.12278757121e+11,,,,
4322,4.12278757122e+11,,,115.0,5.0
4323,4.12278757126e+11,,,144.0,4.0
4324,4.12278873003e+11,,,306.0,4.0
4325,4.12278873021e+11,,,91.0,4.0
4326,4.12278873022e+11,,,68.0,4.0
4327,4.12278873025e+11,,,463.0,6.0
4328,4.12278873027e+11,,,115.0,5.0
4329,4.12278873028e+11,,,115.0,5.0
4330,4.1227887303e+11,,,107.0,3.0
4331,4.12278873031e+11,,,52.0,4.0
4332,4.12278873035e+11,,,207.0,5.0
4333,4.12278873038e+11,,,64.0,5.0
4334,4.12278873056e+11,1315.0,,149.0,3.0
4335,4.12278873062e+11,,,310.0,5.0
4336,4.12278873084e+11,,,107.0,3.0
4337,4.12278873085e+11,,,316.0,3.0
4338,4.12278873087e+11,,,282.0,5.0
4339,4.1227887309e+11,,,,
4340,4.12278873093e+11,,,282.0,5.0
4341,4.12278873095e+11,,,282.0,5.0
4342,4.12278873097e+11,,,115.0,5.0
4343,4.12278873109e+11,,,,
4344,4.12278873132e+11,,,282.0,5.0
4345,4.12278873133e+11,,,,
4346,4.12278873135e+11,2465.0,,474.0,7.0
4347,4.12278873146e+11,,,282.0,5.0
4348,4.12280000012e+11,115.0,,147.0,7.0
4349,4.12280000064e+11,,,107.0,3.0
4350,4.12280000097e+11,,,41.0,4.0
4351,4.12280000116e+11,,,148.0,4.0
4352,4.12280000134e+11,,,,
4353,4.12288118015e+11,1515.0,,1213.0,3.0
4354,4.12288118019e+11,,,,
4355,4.12288118035e+11,,,107.0,3.0
4356,4.12288118038e+11,,,87.0,3.0
4357,4.1228811804e+11,,,87.0,3.0
4358,4.12288118044e+11,,,127.0,3.0
4359,4.12288118047e+11,438.0,,306.0,4.0
4360,4.12288118056e+11,,,107.0,3.0
4361,4.12288118058e+11,,,52.0,4.0
4362,4.12288118067e+11,,,310.0,5.0
4363,4.12288118081e+11,,,282.0,5.0
4364,4.12288118102e+11,,,,
4365,4.12288118104e+11,,,306.0,4.0
4366,4.12288118107e+11,715.0,,121.0,6.0
4367,4.12288118113e+11,,,309.0,3.0
4368,4.12288118117e+11,515.0,,148.0,4.0
4369,4.1228811812e+11,,,99.0,5.0
4370,4.12288118127e+11,135.0,,309.0,3.0
4371,4.1228811813e+11,,,,
4372,4.12288118146e+11,,,309.0,3.0
4373,4.12288118147e+11,,,,
4374,4.12288118149e+11,1515.0,,224.0,4.0
4375,4.12288118151e+11,,,49.0,4.0
4376,4.12288118152e+11,,,87.0,3.0
4377,4.12288118158e+11,,,279.0,3.0
4378,4.12288404004e+11,,,68.0,4.0
4379,4.1228840402e+11,,,310.0,5.0
4380,4.12288404024e+11,,,87.0,3.0
4381,4.12288404025e+11,265.0,,149.0,3.0
4382,4.12288404028e+11,,,64.0,5.0
4383,4.12288404032e+11,315.0,,279.0,3.0
4384,4.12288404045e+11,,,52.0,4.0
4385,4.1228840405e+11,315.0,,304.0,5.0
4386,4.12288404052e+11,,,,
4387,4.12288404055e+11,,,52.0,4.0
4388,4.12288404065e+11,,,87.0,3.0
4389,4.12288404085e+11,,,,
4390,4.12288404087e+11,,,,
4391,4.12288404091e+11,,,306.0,3.0
4392,4.12288404092e+11,,,279.0,3.0
4393,4.12288404095e+11,,,280.0,5.0
4394,4.12288404098e+11,,,310.0,5.0
4395,4.12288404099e+11,,,207.0,5.0
4396,4.12288404101e+11,,,306.0,3.0
4397,4.12288404105e+11,1715.0,,474.0,7.0
4398,4.12288404132e+11,148.0,,306.0,4.0
4399,4.12288404139e+11,,,115.0,5.0
4400,4.12288404141e+11,,,52.0,4.0
4401,4.12288404143e+11,,,279.0,3.0
4402,4.12288565002e+11,,,115.0,5.0
4403,4.12288565022e+11,,,310.0,5.0
4404,4.12288565026e+11,,,87.0,3.0
4405,4.12288565031e+11,,,310.0,5.0
4406,4.12288565037e+11,,,107.0,3.0
4407,4.12288565043e+11,,,63.0,5.0
4408,4.12288565089e+11,,,49.0,4.0
4409,4.12288565096e+11,,,,
4410,4.122885651e+11,,,,
4411,4.12288565103e+11,,,121.0,6.0
4412,4.12288565106e+11,,,,
4413,4.12288565109e+11,,,,
4414,4.1228856511e+11,,,310.0,5.0
4415,4.12288565111e+11,,,310.0,5.0
4416,4.12288565112e+11,,,121.0,6.0
4417,4.12288565122e+11,840.0,,279.0,3.0
4418,4.12288565125e+11,9.0,,309.0,3.0
4419,4.12288565129e+11,10.0,,52.0,4.0
4420,4.12288565144e+11,,,118.0,6.0
4421,4.12288565148e+11,,,,
4422,4.1228856515e+11,,,87.0,3.0
4423,4.1228856516e+11,,,,
4424,4.12288725003e+11,1515.0,,147.0,7.0
4425,4.12288725007e+11,,,,
4426,4.1228872501e+11,,,306.0,4.0
4427,4.12288725014e+11,1515.0,,222.0,1.0
4428,4.12288725021e+11,,,107.0,3.0
4429,4.12288725023e+11,,,,
4430,4.12288725027e+11,,,222.0,1.0
4431,4.12288725072e+11,,,,
4432,4.12288725078e+11,,,309.0,3.0
4433,4.12288725082e+11,,,44.0,4.0
4434,4.12288725084e+11,,,,
4435,4.12288725088e+11,215.0,,463.0,6.0
4436,4.12288725093e+11,,,316.0,3.0
4437,4.12288725094e+11,,,68.0,4.0
4438,4.12288725118e+11,,,304.0,5.0
4439,4.12288725131e+11,315.0,,137.0,1.0
4440,4.12288725138e+11,,,306.0,3.0
4441,4.12288725142e+11,,,,
4442,4.12288725156e+11,,,118.0,6.0
4443,4.12288725157e+11,,,,
4444,4.12288867001e+11,,,107.0,3.0
4445,4.12288867006e+11,,,87.0,3.0
4446,4.12288867009e+11,,,99.0,5.0
4447,4.12288867013e+11,,,147.0,7.0
4448,4.12288867016e+11,815.0,,222.0,1.0
4449,4.12288867018e+11,,,282.0,5.0
4450,4.1228886703e+11,,,,
4451,4.12288867033e+11,415.0,,282.0,5.0
4452,4.12288867049e+11,,,107.0,3.0
4453,4.12288867051e+11,,,41.0,4.0
4454,4.12288867053e+11,,,279.0,3.0
4455,4.12288867057e+11,1015.0,,309.0,3.0
4456,4.12288867059e+11,,,463.0,6.0
4457,4.12288867062e+11,,,107.0,3.0
4458,4.12288867066e+11,,,306.0,4.0
4459,4.12288867068e+11,,,279.0,3.0
4460,4.1228886707e+11,215.0,,279.0,3.0
4461,4.12288867073e+11,682.0,,107.0,3.0
4462,4.12288867076e+11,175.0,,149.0,3.0
4463,4.12288867079e+11,,,310.0,5.0
4464,4.12288867083e+11,,,87.0,3.0
4465,4.12288867086e+11,,,,
4466,4.12288867119e+11,,,310.0,5.0
4467,4.12288867121e+11,,,41.0,4.0
4468,4.12288867123e+11,,,316.0,3.0
4469,4.12288867124e+11,1515.0,,306.0,3.0
4470,4.12288867126e+11,515.0,,316.0,3.0
4471,4.12288867128e+11,,,99.0,5.0
4472,4.12288867136e+11,,,,
4473,4.12288867155e+11,279.0,,149.0,3.0
4474,4.12288900005e+11,,,309.0,3.0
4475,4.12288900008e+11,,,137.0,1.0
4476,4.12288900011e+11,,,309.0,3.0
4477,4.12288900034e+11,,,52.0,4.0
4478,4.12288900036e+11,,,107.0,3.0
4479,4.12288900039e+11,,,222.0,1.0
4480,4.12288900041e+11,,,68.0,4.0
4481,4.12288900042e+11,,,309.0,3.0
4482,4.12288900046e+11,,,87.0,3.0
4483,4.12288900048e+11,,,306.0,4.0
4484,4.12288900054e+11,1015.0,,224.0,4.0
4485,4.1228890006e+11,,,87.0,3.0
4486,4.12288900063e+11,,,463.0,6.0
4487,4.12288900069e+11,,,260.0,5.0
4488,4.12288900071e+11,,,87.0,3.0
4489,4.12288900074e+11,,,279.0,3.0
4490,4.12288900075e+11,,,87.0,3.0
4491,4.12288900077e+11,,,49.0,4.0
4492,4.1228890008e+11,,,87.0,3.0
4493,4.12288900108e+11,,,282.0,5.0
4494,4.12288900114e+11,,,99.0,5.0
4495,4.12288900115e+11,,,99.0,5.0
4496,4.12288900137e+11,,,,
4497,4.12288900145e+11,,,479.0,1.0
4498,4.12288900159e+11,,,309.0,3.0
4499,4.12290000017e+11,,,,
4500,4.12290000021e+11,,,,
4501,4.12290000029e+11,6015.0,,141.0,7.0
4502,4.12290000065e+11,,,296.0,3.0
4503,4.12290000076e+11,,,,
4504,4.12290000099e+11,,,91.0,4.0
4505,4.12298222005e+11,715.0,,69.0,5.0
4506,4.12298222008e+11,,,279.0,3.0
4507,4.12298222014e+11,140.0,,224.0,4.0
4508,4.12298222032e+11,,,147.0,7.0
4509,4.12298222038e+11,,,78.0,5.0
4510,4.12298222053e+11,,,,
4511,4.12298222079e+11,,,309.0,3.0
4512,4.12298222083e+11,0.0,,118.0,1.0
4513,4.12298222087e+11,1265.0,,282.0,5.0
4514,4.12298222101e+11,,,52.0,4.0
4515,4.12298341031e+11,415.0,,107.0,3.0
4516,4.12298341036e+11,,,,
4517,4.12298341039e+11,,,137.0,1.0
4518,4.1229834104e+11,,,304.0,5.0
4519,4.12298341064e+11,415.0,,52.0,4.0
4520,4.12298341067e+11,,,260.0,5.0
4521,4.12298341074e+11,,,99.0,5.0
4522,4.12298341092e+11,,,282.0,5.0
4523,4.12298341095e+11,,,121.0,6.0
4524,4.12298341103e+11,,,310.0,5.0
4525,4.12298451003e+11,,,241.0,3.0
4526,4.12298451004e+11,,,78.0,5.0
4527,4.1229845101e+11,35.0,,196.0,5.0
4528,4.12298451011e+11,,,,
4529,4.12298451018e+11,82.0,,107.0,3.0
4530,4.1229845103e+11,115.0,,310.0,5.0
4531,4.12298451052e+11,,,107.0,3.0
4532,4.12298451055e+11,135.0,,1104.0,5.0
4533,4.12298451061e+11,,,99.0,5.0
4534,4.12298451077e+11,,,280.0,5.0
4535,4.12298451084e+11,,,,
4536,4.12298451085e+11,,,,
4537,4.12298451089e+11,248.0,,310.0,5.0
4538,4.1229845109e+11,,,,
4539,4.12298696009e+11,615.0,,107.0,3.0
4540,4.12298696016e+11,665.0,,107.0,3.0
4541,4.12298696019e+11,,,260.0,5.0
4542,4.12298696022e+11,,,282.0,5.0
4543,4.12298696026e+11,648.0,,41.0,4.0
4544,4.12298696033e+11,1015.0,,118.0,6.0
4545,4.12298696043e+11,,,107.0,3.0
4546,4.12298696046e+11,,,52.0,4.0
4547,4.12298696048e+11,,,,
4548,4.12298696054e+11,,,87.0,3.0
4549,4.12298696059e+11,315.0,,87.0,3.0
4550,4.12298696062e+11,,,,
4551,4.12298696086e+11,,,316.0,6.0
4552,4.12298696088e+11,215.0,,474.0,7.0
4553,4.12298696098e+11,,,118.0,6.0
4554,4.12298864001e+11,,,,
4555,4.12298864002e+11,315.0,,309.0,3.0
4556,4.12298864007e+11,215.0,,87.0,3.0
4557,4.1229886402e+11,,,184.0,3.0
4558,4.12298864025e+11,490.0,,107.0,3.0
4559,4.12298864027e+11,,,,
4560,4.12298864045e+11,,,49.0,4.0
4561,4.12298864047e+11,,,,
4562,4.12298864051e+11,,,87.0,3.0
4563,4.12298864057e+11,,,241.0,3.0
4564,4.12298864069e+11,,,312.0,1.0
4565,4.12298864071e+11,515.0,,41.0,4.0
4566,4.12298864073e+11,,,107.0,3.0
4567,4.12298864075e+11,,,,
4568,4.12298864091e+11,,,282.0,5.0
4569,4.12298864094e+11,,,463.0,6.0
4570,4.12298864097e+11,,,,
4571,4.12298868012e+11,315.0,,279.0,3.0
4572,4.12298868013e+11,,,310.0,5.0
4573,4.12298868015e+11,,,309.0,3.0
4574,4.12298868034e+11,415.0,,312.0,1.0
4575,4.12298868035e+11,,,,
4576,4.12298868041e+11,,,87.0,3.0
4577,4.12298868042e+11,,,,
4578,4.12298868044e+11,715.0,,310.0,5.0
4579,4.12298868049e+11,,,137.0,1.0
4580,4.12298868078e+11,,,115.0,5.0
