,SERIAL,AGE,AM_PM_NIGHT,ANYUNDER16,APORTLATDEG,APORTLATMIN,APORTLATSEC,APORTLATNS,APORTLONDEG,APORTLONMIN,APORTLONSEC,APORTLONEW,ARRIVEDEPART,BABYFARE,BEFAF,CHANGECODE,CHILDFARE,COUNTRYVISIT,CPORTLATDEG,CPORTLATMIN,CPORTLATSEC,CPORTLATNS,CPORTLONDEG,CPORTLONMIN,CPORTLONSEC,CPORTLONEW,INTDATE,DAYTYPE,DIRECTLEG,DVEXPEND,DVFARE,DVLINECODE,DVPACKAGE,DVPACKCOST,DVPERSONS,DVPORTCODE,EXPENDCODE,EXPENDITURE,FARE,FAREK,FLOW,HAULKEY,INTENDLOS,KIDAGE,LOSKEY,MAINCONTRA,MIGSI,INTMONTH,NATIONALITY,NATIONNAME,NIGHTS1,NIGHTS2,NIGHTS3,NIGHTS4,NIGHTS5,NIGHTS6,NIGHTS7,NIGHTS8,NUMADULTS,NUMDAYS,NUMNIGHTS,NUMPEOPLE,PACKAGEHOL,PACKAGEHOLUK,PERSONS,PORTROUTE,PACKAGE,PROUTELATDEG,PROUTELATMIN,PROUTELATSEC,PROUTELATNS,PROUTELONDEG,PROUTELONMIN,PROUTELONSEC,PROUTELONEW,PURPOSE,QUARTER,RESIDENCE,RESPNSE,SEX,SHIFTNO,SHUTTLE,SINGLERETURN,TANDTSI,TICKETCOST,TOWNCODE1,TOWNCODE2,TOWNCODE3,TOWNCODE4,TOWNCODE5,TOWNCODE6,TOWNCODE7,TOWNCODE8,TRANSFER,UKFOREIGN,VEHICLE,VISITBEGAN,WELSHNIGHTS,WELSHTOWN,AM_PM_NIGHT_PV,APD_PV,ARRIVEDEPART_PV,CROSSINGS_FLAG_PV,STAYIMPCTRYLEVEL1_PV,STAYIMPCTRYLEVEL2_PV,STAYIMPCTRYLEVEL3_PV,STAYIMPCTRYLEVEL4_PV,DAY_PV,DISCNT_F1_PV,DISCNT_F2_PV,DISCNT_PACKAGE_COST_PV,DUR1_PV,DUR2_PV,DUTY_FREE_PV,FAGE_PV,FARES_IMP_ELIGIBLE_PV,FARES_IMP_FLAG_PV,FLOW_PV,FOOT_OR_VEHICLE_PV,HAUL_PV,IMBAL_CTRY_FACT_PV,IMBAL_CTRY_GRP_PV,IMBAL_ELIGIBLE_PV,IMBAL_PORT_FACT_PV,IMBAL_PORT_GRP_PV,IMBAL_PORT_SUBGRP_PV,LOS_PV,LOSDAYS_PV,MIG_FLAG_PV,MINS_CTRY_GRP_PV,MINS_CTRY_PORT_GRP_PV,MINS_FLAG_PV,MINS_NAT_GRP_PV,MINS_PORT_GRP_PV,MINS_QUALITY_PV,NR_FLAG_PV,NR_PORT_GRP_PV,OPERA_PV,OSPORT1_PV,OSPORT2_PV,OSPORT3_PV,OSPORT4_PV,PUR1_PV,PUR2_PV,PUR3_PV,PURPOSE_PV,QMFARE_PV,RAIL_CNTRY_GRP_PV,RAIL_EXERCISE_PV,RAIL_IMP_ELIGIBLE_PV,REG_IMP_ELIGIBLE_PV,SAMP_PORT_GRP_PV,SHIFT_FLAG_PV,SHIFT_PORT_GRP_PV,SPEND_IMP_FLAG_PV,SPEND_IMP_ELIGIBLE_PV,STAY_IMP_ELIGIBLE_PV,STAY_IMP_FLAG_PV,STAY_PURPOSE_GRP_PV,TOWNCODE_PV,TOWN_IMP_ELIGIBLE_PV,TYPE_PV,UK_OS_PV,UKPORT1_PV,UKPORT2_PV,UKPORT3_PV,UKPORT4_PV,UNSAMP_PORT_GRP_PV,UNSAMP_REGION_GRP_PV,WEEKDAY_END_PV,DIRECT,EXPENDITURE_WT,EXPENDITURE_WTK,FAREKEY,OVLEG,SPEND,SPEND1,SPEND2,SPEND3,SPEND4,SPEND5,SPEND6,SPEND7,SPEND8,SPEND9,SPENDIMPREASON,SPENDK,STAY,STAYK,STAY1K,STAY2K,STAY3K,STAY4K,STAY5K,STAY6K,STAY7K,STAY8K,STAY9K,STAYTLY,STAY_WT,STAY_WTK,TYPEINTERVIEW,UKLEG,VISIT_WT,VISIT_WTK,SHIFT_WT,NON_RESPONSE_WT,MINS_WT,TRAFFIC_WT,UNSAMP_TRAFFIC_WT,IMBAL_WT,FINAL_WT
460,12021068.0,,2.0,,55.0,37.0,0.0,N,12.0,39.0,,E,2.0,0.25,,,1.0,208.0,,,,,,,,,05022017,2.0,,,,75201.0,,,,208011.0,,,,,2.0,2.0,1.0,,0.0,2.0,20.0,,926.0,UK  / United Kingdom Q1,,,,,,,,,,,,,,,,121.0,,51.0,28.0,11.0,N,0.0,27.0,8.0,W,,1.0,926.0,1.0,,2021.0,,,50.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
461,12021069.0,4.0,2.0,,47.0,28.0,0.0,N,8.0,33.0,,E,2.0,0.25,0.0,,1.0,,,,,,,,,,05022017,2.0,,1500.0,,75605.0,,,2.0,756041.0,,1500.0,,,1.0,2.0,,,,1.0,20.0,,756.0,Switzerland,3.0,,,,,,,,,4.0,3.0,,3.0,,2.0,121.0,3.0,51.0,28.0,11.0,N,0.0,27.0,8.0,W,10.0,1.0,756.0,1.0,2.0,2021.0,,,50.0,,72000.0,,,,,,,,0.0,2.0,,02022017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
462,12021070.0,5.0,2.0,,25.0,4.0,0.0,N,121.0,33.0,,E,2.0,0.1,999999.0,,0.8,,,,,,,,,,05022017,2.0,,,,15802.0,,,4.0,158019.0,?,999999.0,,,1.0,1.0,,,,1.0,20.0,,158.0,Taiwan,,,,,,,,,,11.0,10.0,,3.0,,4.0,121.0,3.0,51.0,28.0,11.0,N,0.0,27.0,8.0,W,10.0,1.0,158.0,2.0,1.0,2021.0,,,50.0,,99999.0,,,,,,,,999999.0,2.0,,26012017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
463,12021071.0,6.0,2.0,,47.0,28.0,0.0,N,8.0,33.0,,E,2.0,0.25,0.0,,1.0,,,,,,,,,,05022017,2.0,,0.0,,75605.0,,,1.0,756041.0,0,0.0,,,1.0,2.0,,,,1.0,20.0,,756.0,Switzerland,1.0,,,,,,,,,2.0,1.0,,3.0,,1.0,121.0,3.0,51.0,28.0,11.0,N,0.0,27.0,8.0,W,11.0,1.0,756.0,1.0,1.0,2021.0,,,50.0,,70400.0,,,,,,,,0.0,2.0,,04022017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
464,12021072.0,2.0,2.0,,55.0,37.0,0.0,N,12.0,39.0,,E,2.0,0.25,0.0,,1.0,,,,,,,,,,05022017,2.0,,25.0,,75201.0,,,1.0,208011.0,,25.0,,,1.0,2.0,,,,1.0,20.0,,208.0,Denmark,2.0,,,,,,,,,3.0,2.0,,3.0,,1.0,121.0,3.0,51.0,28.0,11.0,N,0.0,27.0,8.0,W,11.0,1.0,208.0,1.0,2.0,2021.0,,,50.0,,72000.0,,,,,,,,0.0,2.0,,03022017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
465,12021073.0,2.0,2.0,,35.0,33.0,0.0,N,139.0,46.0,,E,2.0,0.1,999999.0,392072.0,0.8,,34.0,24.0,0.0,N,135.0,14.0,,E,05022017,2.0,,,,39299.0,,,3.0,392032.0,?,999999.0,,,1.0,1.0,,,,1.0,20.0,,392.0,Japan/Okinawa/Ryuku Is,45.0,,,,,,,,,46.0,45.0,,3.0,,3.0,121.0,3.0,51.0,28.0,11.0,N,0.0,27.0,8.0,W,60.0,1.0,392.0,2.0,1.0,2021.0,,,50.0,,4502.0,,,,,,,,0.0,2.0,,22122016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
466,12021074.0,5.0,2.0,,1.0,22.0,0.0,N,103.0,59.0,,E,2.0,0.25,230.0,,0.8,,,,,,,,,,05022017,2.0,,1200.0,,70202.0,,,1.0,702011.0,,1200.0,,,1.0,1.0,,,,1.0,20.0,,458.0,MLY  Malaysia,2.0,2.0,,,,,,,,5.0,4.0,,3.0,,1.0,121.0,3.0,51.0,28.0,11.0,N,0.0,27.0,8.0,W,20.0,1.0,702.0,1.0,2.0,2021.0,,,50.0,,72000.0,2700.0,,,,,,,0.0,2.0,,01022017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
467,12021075.0,6.0,2.0,,,,,,,,,,2.0,,,,,,,,,,,,,,05022017,2.0,,,,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,121.0,,51.0,28.0,11.0,N,0.0,27.0,8.0,W,,1.0,,4.0,1.0,2021.0,,,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
468,12021076.0,6.0,2.0,,47.0,28.0,0.0,N,8.0,33.0,,E,2.0,0.25,0.0,,1.0,,,,,,,,,,05022017,2.0,,300.0,,75605.0,,,1.0,756041.0,,300.0,,,1.0,2.0,,,,1.0,20.0,,756.0,Switzerland,1.0,1.0,,,,,,,,3.0,2.0,,3.0,,1.0,121.0,3.0,51.0,28.0,11.0,N,0.0,27.0,8.0,W,12.0,1.0,756.0,1.0,1.0,2021.0,,,50.0,,72400.0,4309.0,,,,,,,0.0,2.0,,03022017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
469,12021077.0,,2.0,,34.0,52.0,0.0,N,33.0,38.0,,E,2.0,0.25,,,1.0,901.0,,,,,,,,,05022017,2.0,,,,30099.0,,,,901011.0,,,,,2.0,2.0,1.0,,0.0,2.0,20.0,,926.0,UK  / United Kingdom Q1,,,,,,,,,,,,,,,,121.0,,51.0,28.0,11.0,N,0.0,27.0,8.0,W,,1.0,926.0,1.0,,2021.0,,,50.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
