,SERIAL,SHIFT_WT
994,11022045,1000.0
995,11022046,1000.0
996,11022047,1000.0
997,11022048,1000.0
998,11022049,1000.0
999,11022050,1000.0
1000,11022051,1000.0
1001,11022052,1000.0
1002,11022053,1000.0
1003,11022054,1000.0
1004,11022055,1000.0
1005,11022056,1000.0
1006,11022057,1000.0
1007,11022058,1000.0
1008,11022059,1000.0
1009,11022060,1000.0
1010,11022061,1000.0
1011,11022062,1000.0
1012,11022063,1000.0
1013,11022064,1000.0
1014,11022065,1000.0
1015,11022066,1000.0
1016,11022067,1000.0
1017,11022068,1000.0
1018,11022069,1000.0
1019,11022070,1000.0
1020,11022071,1000.0
1021,11022072,1000.0
1022,11022073,1000.0
1023,11022074,1000.0
1024,11022075,1000.0
1025,11022076,1000.0
1026,11022077,1000.0
1027,11022078,1000.0
1028,11022079,1000.0
1029,11022080,1000.0
1030,11022081,1000.0
1031,11022082,1000.0
1032,11022083,1000.0
1033,11022084,1000.0
1034,11022085,1000.0
2603,11023001,160.0
2604,11023002,160.0
2605,11023003,160.0
2606,11023004,160.0
2607,11023005,160.0
2608,11023006,160.0
2609,11023007,160.0
2610,11023008,160.0
2611,11023009,160.0
2612,11023010,160.0
2613,11023011,160.0
2614,11023012,160.0
2615,11023013,160.0
2616,11023014,160.0
2617,11023015,160.0
2618,11023016,160.0
2619,11023017,160.0
2620,11023018,160.0
2621,11023019,160.0
2622,11023020,160.0
2623,11023021,160.0
2624,11023022,160.0
2625,11023023,160.0
2626,11023024,160.0
2627,11023025,160.0
2628,11023027,160.0
2629,11023028,160.0
2630,11023029,160.0
2631,11023030,160.0
2632,11023031,160.0
2633,11023032,160.0
2634,11023033,160.0
2635,11023034,160.0
2636,11023035,160.0
2637,11023036,160.0
2638,11023037,160.0
2639,11023038,160.0
2640,11023039,160.0
2641,11023040,160.0
2642,11023041,160.0
2643,11023042,160.0
2644,11023043,160.0
2645,11023044,160.0
2646,11023045,160.0
2647,11023046,160.0
2648,11023047,160.0
2649,11023048,160.0
2650,11023049,160.0
2651,11023050,160.0
2652,11023051,160.0
2653,11023052,160.0
2654,11023053,160.0
2655,11023054,160.0
2656,11023055,160.0
2657,11023056,160.0
2658,11023057,160.0
2659,11023058,160.0
2660,11023059,160.0
2661,11023060,160.0
2662,11023061,160.0
2663,11023062,160.0
2664,11023063,160.0
2665,11023064,160.0
2666,11023065,160.0
2667,11023066,160.0
2668,11023067,160.0
2669,11023068,160.0
2670,11023069,160.0
2671,11023070,160.0
2672,11023071,160.0
2673,11023072,160.0
2674,11023073,160.0
2675,11023074,160.0
2676,11023075,160.0
2677,11023076,160.0
2678,11023077,160.0
2679,11023078,160.0
2680,11023079,160.0
2681,11023080,160.0
2682,11023081,160.0
2683,11023082,160.0
2684,11023083,160.0
2685,11023084,160.0
2686,11023085,160.0
2687,11023086,160.0
2688,11023087,160.0
2689,11023088,160.0
