SHIFT_PORT_GRP_PV,ARRIVEDEPART,WEEKDAY_END_PV,AM_PM_NIGHT_PV,NUMERATOR
381,2.0,1.0,1.0,44.0
381,2.0,2.0,1.0,16.0
391,1.0,1.0,1.0,44.0
391,1.0,2.0,1.0,16.0
391,2.0,1.0,1.0,44.0
391,2.0,2.0,1.0,16.0
401,1.0,1.0,1.0,44.0
401,1.0,2.0,1.0,16.0
401,2.0,1.0,1.0,44.0
401,2.0,2.0,1.0,16.0
411,1.0,1.0,1.0,44.0
411,1.0,2.0,1.0,16.0
411,2.0,1.0,1.0,44.0
411,2.0,2.0,1.0,16.0
421,1.0,1.0,1.0,44.0
421,1.0,2.0,1.0,16.0
421,2.0,1.0,1.0,44.0
421,2.0,2.0,1.0,16.0
441,1.0,1.0,1.0,44.0
441,1.0,2.0,1.0,16.0
441,2.0,1.0,1.0,44.0
441,2.0,2.0,1.0,16.0
451,1.0,1.0,1.0,44.0
451,1.0,2.0,1.0,16.0
451,2.0,1.0,1.0,44.0
451,2.0,2.0,1.0,16.0
461,1.0,1.0,1.0,44.0
461,1.0,2.0,1.0,16.0
461,2.0,1.0,1.0,44.0
461,2.0,2.0,1.0,16.0
471,1.0,1.0,1.0,44.0
471,1.0,2.0,1.0,16.0
471,2.0,1.0,1.0,44.0
471,2.0,2.0,1.0,16.0
481,1.0,1.0,1.0,44.0
481,1.0,2.0,1.0,16.0
481,2.0,1.0,1.0,44.0
481,2.0,2.0,1.0,16.0
611,1.0,1.0,1.0,1292.0
611,2.0,1.0,1.0,1291.0
612,1.0,1.0,1.0,328.0
612,2.0,1.0,1.0,327.0
613,1.0,1.0,1.0,0.0
613,2.0,1.0,1.0,0.0
631,1.0,1.0,1.0,0.0
631,2.0,1.0,1.0,0.0
632,1.0,1.0,1.0,30.0
632,2.0,1.0,1.0,30.0
633,1.0,1.0,1.0,26.0
633,2.0,1.0,1.0,26.0
634,1.0,1.0,1.0,82.0
634,2.0,1.0,1.0,82.0
635,1.0,1.0,1.0,8.0
635,2.0,1.0,1.0,8.0
641,1.0,1.0,1.0,0.0
641,2.0,1.0,1.0,1.0
651,1.0,1.0,1.0,38.0
651,2.0,1.0,1.0,38.0
661,1.0,1.0,1.0,4.0
661,2.0,1.0,1.0,4.0
662,1.0,1.0,1.0,34.0
662,2.0,1.0,1.0,34.0
671,1.0,1.0,1.0,60.0
671,2.0,1.0,1.0,60.0
672,1.0,1.0,1.0,12.0
672,2.0,1.0,1.0,12.0
682,1.0,1.0,1.0,30.0
682,2.0,1.0,1.0,30.0
691,1.0,1.0,1.0,30.0
691,2.0,1.0,1.0,31.0
692,1.0,1.0,1.0,30.0
692,2.0,1.0,1.0,30.0
701,1.0,1.0,1.0,59.0
701,2.0,1.0,1.0,59.0
711,1.0,1.0,1.0,55.0
711,2.0,1.0,1.0,55.0
721,1.0,1.0,1.0,230.0
721,2.0,1.0,1.0,230.0
722,1.0,1.0,1.0,122.0
722,2.0,1.0,1.0,121.0
731,1.0,1.0,1.0,13.0
731,2.0,1.0,1.0,13.0
741,1.0,1.0,1.0,0.0
741,2.0,1.0,1.0,0.0
811,1.0,1.0,1.0,700.0
811,1.0,1.0,3.0,168.0
811,1.0,2.0,1.0,339.0
811,1.0,2.0,3.0,70.0
811,2.0,1.0,1.0,713.0
811,2.0,1.0,3.0,141.0
811,2.0,2.0,1.0,302.0
811,2.0,2.0,3.0,57.0
812,1.0,1.0,1.0,783.0
812,1.0,1.0,2.0,1000.0
812,1.0,1.0,3.0,852.0
812,2.0,1.0,1.0,805.0
812,2.0,1.0,2.0,1008.0
812,2.0,1.0,3.0,822.0
911,1.0,1.0,1.0,60.0
911,2.0,1.0,1.0,60.0
921,1.0,1.0,1.0,60.0
921,2.0,1.0,1.0,60.0
951,1.0,1.0,1.0,60.0
951,2.0,1.0,1.0,60.0
LHR Mig Tr,1.0,1.0,1.0,44.0
LHR Mig Tr,1.0,2.0,1.0,16.0
LHR Mig Tr,2.0,1.0,1.0,44.0
LHR Mig Tr,2.0,2.0,1.0,16.0
LHR Transi,1.0,1.0,1.0,44.0
LHR Transi,1.0,2.0,1.0,16.0
LHR Transi,2.0,1.0,1.0,44.0
LHR Transi,2.0,2.0,1.0,16.0
