SHIFT_PORT_GRP_PV,ARRIVEDEPART,WEEKDAY_END_PV,AM_PM_NIGHT_PV,NUMERATOR
b'341',1.0,1.0,1.0,44.0
b'341',1.0,2.0,1.0,16.0
b'341',2.0,1.0,1.0,44.0
b'341',2.0,2.0,1.0,16.0
b'351',1.0,1.0,1.0,44.0
b'351',1.0,2.0,1.0,16.0
b'351',2.0,1.0,1.0,44.0
b'351',2.0,2.0,1.0,16.0
b'361',1.0,1.0,1.0,44.0
b'361',1.0,2.0,1.0,16.0
b'361',2.0,1.0,1.0,44.0
b'361',2.0,2.0,1.0,16.0
b'371',1.0,1.0,1.0,44.0
b'371',1.0,2.0,1.0,16.0
b'371',2.0,1.0,1.0,44.0
b'371',2.0,2.0,1.0,16.0
b'381',1.0,1.0,1.0,44.0
b'381',1.0,2.0,1.0,16.0
b'381',2.0,1.0,1.0,44.0
b'381',2.0,2.0,1.0,16.0
b'391',1.0,1.0,1.0,44.0
b'391',1.0,2.0,1.0,16.0
b'391',2.0,1.0,1.0,44.0
b'391',2.0,2.0,1.0,16.0
b'401',1.0,1.0,1.0,44.0
b'401',1.0,2.0,1.0,16.0
b'401',2.0,1.0,1.0,44.0
b'401',2.0,2.0,1.0,16.0
b'411',1.0,1.0,1.0,44.0
b'411',1.0,2.0,1.0,16.0
b'411',2.0,1.0,1.0,44.0
b'411',2.0,2.0,1.0,16.0
b'421',1.0,1.0,1.0,44.0
b'421',1.0,2.0,1.0,16.0
b'421',2.0,1.0,1.0,44.0
b'421',2.0,2.0,1.0,16.0
b'441',1.0,1.0,1.0,44.0
b'441',1.0,2.0,1.0,16.0
b'441',2.0,1.0,1.0,44.0
b'441',2.0,2.0,1.0,16.0
b'451',1.0,1.0,1.0,44.0
b'451',1.0,2.0,1.0,16.0
b'451',2.0,1.0,1.0,44.0
b'451',2.0,2.0,1.0,16.0
b'461',1.0,1.0,1.0,44.0
b'461',1.0,2.0,1.0,16.0
b'461',2.0,1.0,1.0,44.0
b'461',2.0,2.0,1.0,16.0
b'471',1.0,1.0,1.0,44.0
b'471',1.0,2.0,1.0,16.0
b'471',2.0,1.0,1.0,44.0
b'471',2.0,2.0,1.0,16.0
b'481',1.0,1.0,1.0,44.0
b'481',1.0,2.0,1.0,16.0
b'481',2.0,1.0,1.0,44.0
b'481',2.0,2.0,1.0,16.0
b'611',1.0,1.0,1.0,1292.0
b'611',2.0,1.0,1.0,1291.0
b'612',1.0,1.0,1.0,328.0
b'612',2.0,1.0,1.0,327.0
b'613',1.0,1.0,1.0,0.0
b'613',2.0,1.0,1.0,0.0
b'631',1.0,1.0,1.0,0.0
b'631',2.0,1.0,1.0,0.0
b'632',1.0,1.0,1.0,30.0
b'632',2.0,1.0,1.0,30.0
b'633',1.0,1.0,1.0,26.0
b'633',2.0,1.0,1.0,26.0
b'634',1.0,1.0,1.0,82.0
b'634',2.0,1.0,1.0,82.0
b'635',1.0,1.0,1.0,8.0
b'635',2.0,1.0,1.0,8.0
b'641',1.0,1.0,1.0,0.0
b'641',2.0,1.0,1.0,1.0
b'651',1.0,1.0,1.0,38.0
b'651',2.0,1.0,1.0,38.0
b'661',1.0,1.0,1.0,4.0
b'661',2.0,1.0,1.0,4.0
b'662',1.0,1.0,1.0,34.0
b'662',2.0,1.0,1.0,34.0
b'671',1.0,1.0,1.0,60.0
b'671',2.0,1.0,1.0,60.0
b'672',1.0,1.0,1.0,12.0
b'672',2.0,1.0,1.0,12.0
b'682',1.0,1.0,1.0,30.0
b'682',2.0,1.0,1.0,30.0
b'691',1.0,1.0,1.0,30.0
b'691',2.0,1.0,1.0,31.0
b'692',1.0,1.0,1.0,30.0
b'692',2.0,1.0,1.0,30.0
b'701',1.0,1.0,1.0,59.0
b'701',2.0,1.0,1.0,59.0
b'711',1.0,1.0,1.0,55.0
b'711',2.0,1.0,1.0,55.0
b'721',1.0,1.0,1.0,230.0
b'721',2.0,1.0,1.0,230.0
b'722',1.0,1.0,1.0,122.0
b'722',2.0,1.0,1.0,121.0
b'731',1.0,1.0,1.0,13.0
b'731',2.0,1.0,1.0,13.0
b'741',1.0,1.0,1.0,0.0
b'741',2.0,1.0,1.0,0.0
b'811',1.0,1.0,1.0,700.0
b'811',1.0,1.0,3.0,168.0
b'811',1.0,2.0,1.0,339.0
b'811',1.0,2.0,3.0,70.0
b'811',2.0,1.0,1.0,713.0
b'811',2.0,1.0,3.0,141.0
b'811',2.0,2.0,1.0,302.0
b'811',2.0,2.0,3.0,57.0
b'812',1.0,1.0,1.0,783.0
b'812',1.0,1.0,2.0,1000.0
b'812',1.0,1.0,3.0,852.0
b'812',2.0,1.0,1.0,805.0
b'812',2.0,1.0,2.0,1008.0
b'812',2.0,1.0,3.0,822.0
b'911',1.0,1.0,1.0,60.0
b'911',2.0,1.0,1.0,60.0
b'921',1.0,1.0,1.0,60.0
b'921',2.0,1.0,1.0,60.0
b'951',1.0,1.0,1.0,60.0
b'951',2.0,1.0,1.0,60.0
b'LHR Mig Tr',1.0,1.0,1.0,44.0
b'LHR Mig Tr',1.0,2.0,1.0,16.0
b'LHR Mig Tr',2.0,1.0,1.0,44.0
b'LHR Mig Tr',2.0,2.0,1.0,16.0
b'LHR Transi',1.0,1.0,1.0,44.0
b'LHR Transi',1.0,2.0,1.0,16.0
b'LHR Transi',2.0,1.0,1.0,44.0
b'LHR Transi',2.0,2.0,1.0,16.0
