,SHIFT_PORT_GRP_PV,ARRIVEDEPART,WEEKDAY_END_PV,AM_PM_NIGHT_PV,MIGSI,POSS_SHIFT_CROSS,SAMP_SHIFT_CROSS,MIN_SH_WT,MEAN_SH_WT,MAX_SH_WT,COUNT_RESPS,SUM_SH_WT
100,361.0,1,0.0,1.0,,180.0,0.0,,,,,
101,361.0,2,0.0,1.0,,180.0,0.0,,,,,
102,371.0,1,0.0,1.0,,180.0,0.0,,,,,
103,371.0,2,0.0,1.0,,180.0,0.0,,,,,
104,381.0,1,0.0,1.0,,180.0,0.0,,,,,
105,381.0,2,0.0,1.0,,180.0,0.0,,,,,
106,382.0,1,0.0,1.0,,180.0,0.0,,,,,
107,382.0,2,0.0,1.0,,180.0,0.0,,,,,
108,391.0,1,0.0,1.0,,164.0,0.0,,,,,
109,391.0,2,0.0,1.0,,180.0,0.0,,,,,
110,393.0,1,0.0,1.0,,180.0,0.0,,,,,
111,393.0,2,0.0,1.0,,180.0,0.0,,,,,
112,401.0,1,0.0,1.0,,180.0,0.0,,,,,
113,401.0,2,0.0,1.0,,180.0,0.0,,,,,
114,411.0,1,0.0,1.0,,180.0,0.0,,,,,
115,411.0,2,0.0,1.0,,180.0,0.0,,,,,
116,421.0,1,0.0,1.0,,180.0,0.0,,,,,
117,421.0,2,0.0,1.0,,180.0,0.0,,,,,
118,441.0,1,0.0,1.0,,180.0,0.0,,,,,
119,441.0,2,0.0,1.0,,180.0,0.0,,,,,
120,443.0,1,0.0,1.0,,180.0,0.0,,,,,
121,443.0,2,0.0,1.0,,180.0,0.0,,,,,
122,471.0,1,0.0,1.0,,180.0,0.0,,,,,
123,471.0,2,0.0,1.0,,180.0,0.0,,,,,
124,481.0,1,0.0,1.0,,180.0,0.0,,,,,
125,481.0,2,0.0,1.0,,180.0,0.0,,,,,
126,611.0,1,1.0,1.0,,3023.0,0.0,,,,,
127,611.0,2,1.0,1.0,,3023.0,0.0,,,,,
128,612.0,1,1.0,1.0,,895.0,0.0,,,,,
129,612.0,2,1.0,1.0,,895.0,0.0,,,,,
130,613.0,1,1.0,1.0,,0.0,0.0,,,,,
131,613.0,2,1.0,1.0,,0.0,0.0,,,,,
132,621.0,1,1.0,1.0,,165.0,0.0,,,,,
133,621.0,2,1.0,1.0,,165.0,0.0,,,,,
134,631.0,1,1.0,1.0,,1.0,0.0,,,,,
135,631.0,2,1.0,1.0,,1.0,0.0,,,,,
136,632.0,1,1.0,1.0,,99.0,0.0,,,,,
137,632.0,2,1.0,1.0,,99.0,0.0,,,,,
138,633.0,1,1.0,1.0,,55.0,0.0,,,,,
139,633.0,2,1.0,1.0,,55.0,0.0,,,,,
140,634.0,1,1.0,1.0,,253.0,0.0,,,,,
141,634.0,2,1.0,1.0,,252.0,0.0,,,,,
142,635.0,1,1.0,1.0,,19.0,0.0,,,,,
143,635.0,2,1.0,1.0,,20.0,0.0,,,,,
144,636.0,1,1.0,1.0,,36.0,0.0,,,,,
145,636.0,2,1.0,1.0,,36.0,0.0,,,,,
146,641.0,1,1.0,1.0,,0.0,0.0,,,,,
147,641.0,2,1.0,1.0,,0.0,0.0,,,,,
148,651.0,1,1.0,1.0,,89.0,0.0,,,,,
149,651.0,2,1.0,1.0,,88.0,0.0,,,,,
150,652.0,1,1.0,1.0,,27.0,0.0,,,,,
151,652.0,2,1.0,1.0,,27.0,0.0,,,,,
152,671.0,1,1.0,1.0,,168.0,0.0,,,,,
153,671.0,2,1.0,1.0,,168.0,0.0,,,,,
154,672.0,1,1.0,1.0,,0.0,0.0,,,,,
155,672.0,2,1.0,1.0,,0.0,0.0,,,,,
156,682.0,1,1.0,1.0,,69.0,0.0,,,,,
157,682.0,2,1.0,1.0,,68.0,0.0,,,,,
158,691.0,1,1.0,1.0,,90.0,0.0,,,,,
159,691.0,2,1.0,1.0,,90.0,0.0,,,,,
160,692.0,1,1.0,1.0,,114.0,0.0,,,,,
161,692.0,2,1.0,1.0,,115.0,0.0,,,,,
162,701.0,1,1.0,1.0,,176.0,0.0,,,,,
163,701.0,2,1.0,1.0,,176.0,0.0,,,,,
164,711.0,1,1.0,1.0,,176.0,0.0,,,,,
165,711.0,2,1.0,1.0,,176.0,0.0,,,,,
166,721.0,1,1.0,1.0,,708.0,0.0,,,,,
167,721.0,2,1.0,1.0,,710.0,0.0,,,,,
168,722.0,1,1.0,1.0,,461.0,0.0,,,,,
169,722.0,2,1.0,1.0,,459.0,0.0,,,,,
170,731.0,1,1.0,1.0,,22.0,0.0,,,,,
171,731.0,2,1.0,1.0,,22.0,0.0,,,,,
172,741.0,1,1.0,1.0,,0.0,0.0,,,,,
173,741.0,2,1.0,1.0,,0.0,0.0,,,,,
174,811.0,1,0.0,1.0,,2876.0,0.0,,,,,
175,811.0,1,0.0,3.0,,675.0,0.0,,,,,
176,811.0,2,0.0,1.0,,2943.0,0.0,,,,,
177,811.0,2,0.0,3.0,,577.0,0.0,,,,,
178,812.0,1,1.0,1.0,,3046.0,0.0,,,,,
179,812.0,1,1.0,2.0,,3516.0,0.0,,,,,
180,812.0,1,1.0,3.0,,2985.0,0.0,,,,,
181,812.0,2,1.0,1.0,,3095.0,0.0,,,,,
182,812.0,2,1.0,2.0,,3472.0,0.0,,,,,
183,812.0,2,1.0,3.0,,2934.0,0.0,,,,,
184,911.0,1,1.0,1.0,,180.0,0.0,,,,,
185,911.0,2,1.0,1.0,,180.0,0.0,,,,,
186,913.0,1,1.0,1.0,,180.0,0.0,,,,,
187,913.0,2,1.0,1.0,,180.0,0.0,,,,,
188,LHR Mig Tr,1,0.0,1.0,,180.0,0.0,,,,,
189,LHR Mig Tr,2,0.0,1.0,,180.0,0.0,,,,,
190,LHR Transi,1,0.0,1.0,,180.0,0.0,,,,,
191,LHR Transi,2,0.0,1.0,,180.0,0.0,,,,,
